(213, 'Sri Lanka', 'India', '2005-11-09', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(214, 'Zimbabwe', 'Bangladesh', '2005-01-24', 'Zimbabwe', True, 'Zimbabwe tour of Bangladesh', 'Unknown')
(215, 'Australia', 'England', '2005-07-02', None, False, 'NatWest Challenge', 'Final')
(216, 'South Africa', 'England', '2005-02-06', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(217, 'England', 'South Africa', '2005-02-13', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(218, 'New Zealand', 'South Africa', '2005-11-06', 'South Africa', False, 'New Zealand tour of South Africa', 'Unknown')
(219, 'South Africa', 'Zimbabwe', '2005-02-25', 'South Africa', False, 'Zimbabwe tour of South Africa', 'Unknown')
(220, 'West Indies', 'South Africa', '2005-05-15', 'South Africa', True, 'South Africa tour of West Indies', 'Unknown')
(221, 'Australia', 'England', '2005-06-28', None, False, 'NatWest Challenge', 'Unknown')
(222, 'Zimbabwe', 'South Africa', '2005-03-02', 'South Africa', False, 'Zimbabwe tour of South Africa', 'Unknown')
(223, 'India', 'Pakistan', '2005-04-12', 'Pakistan', True, 'Pakistan tour of India', 'Unknown')
(224, 'England', 'South Africa', '2005-02-04', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(225, 'South Africa', 'England', '2005-02-09', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(226, 'India', 'Sri Lanka', '2005-11-06', 'Sri Lanka', True, 'Sri Lanka tour of India', 'Unknown')
(227, 'Pakistan', 'England', '2005-12-15', 'Pakistan', False, 'England tour of Pakistan', 'Unknown')
(228, 'New Zealand', 'Zimbabwe', '2005-08-31', 'New Zealand', False, 'Videocon Triangular Series', 'Unknown')
(229, 'England', 'Australia', '2005-07-12', 'Australia', True, 'Australia tour of England and Scotland', 'Unknown')
(230, 'West Indies', 'Sri Lanka', '2005-08-06', 'West Indies', True, 'Indian Oil Cup', 'Unknown')
(231, 'West Indies', 'South Africa', '2005-05-08', 'South Africa', True, 'South Africa tour of West Indies', 'Unknown')
(232, 'New Zealand', 'South Africa', '2005-10-30', 'South Africa', False, 'New Zealand tour of South Africa', 'Unknown')
(233, 'Pakistan', 'West Indies', '2005-02-01', 'Pakistan', False, 'VB Series', 'Unknown')
(234, 'Bangladesh', 'England', '2005-06-16', 'England', False, 'NatWest Challenge', 'Unknown')
(235, 'Bangladesh', 'England', '2005-06-26', 'England', False, 'NatWest Challenge', 'Unknown')
(236, 'Australia', 'West Indies', '2005-01-26', 'Australia', False, 'VB Series', 'Unknown')
(237, 'India', 'Zimbabwe', '2005-08-29', 'India', False, 'Videocon Triangular Series', 'Unknown')
(238, 'Australia', 'England', '2005-06-23', 'Australia', True, 'NatWest Challenge', 'Unknown')
(239, 'Sri Lanka', 'India', '2005-11-03', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(240, 'West Indies', 'Australia', '2005-01-21', None, False, 'VB Series', 'Unknown')
(241, 'Australia', 'New Zealand', '2005-12-03', 'Australia', False, 'Australia tour of New Zealand', 'Unknown')
(242, 'West Indies', 'India', '2005-07-31', 'India', False, 'Indian Oil Cup', 'Unknown')
(243, 'England', 'Pakistan', '2005-12-21', 'England', False, 'England tour of Pakistan', 'Unknown')
(244, 'Sri Lanka', 'New Zealand', '2005-12-31', 'New Zealand', False, 'Sri Lanka tour of New Zealand', 'Unknown')
(245, 'Sri Lanka', 'India', '2005-10-28', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(246, 'South Africa', 'England', '2005-01-30', 'England', True, 'England tour of South Africa', 'Unknown')
(247, 'Bangladesh', 'Australia', '2005-06-30', 'Australia', False, 'NatWest Challenge', 'Unknown')
(248, 'West Indies', 'Pakistan', '2005-01-19', 'Pakistan', False, 'VB Series', 'Unknown')
(249, 'South Africa', 'New Zealand', '2005-10-28', 'South Africa', False, 'New Zealand tour of South Africa', 'Unknown')
(250, 'India', 'South Africa', '2005-11-16', 'South Africa', False, 'South Africa tour of India', 'Unknown')
(251, 'Australia', 'Pakistan', '2005-01-30', 'Pakistan', True, 'VB Series', 'Unknown')
(252, 'India', 'Pakistan', '2005-04-05', 'India', False, 'Pakistan tour of India', 'Unknown')
(253, 'Sri Lanka', 'Bangladesh', '2005-08-31', 'Sri Lanka', False, 'Bangladesh tour of Sri Lanka', 'Unknown')
(254, 'Sri Lanka', 'West Indies', '2005-08-02', 'Sri Lanka', False, 'Indian Oil Cup', 'Unknown')
(255, 'South Africa', 'England', '2005-02-11', None, False, 'England tour of South Africa', 'Unknown')
(256, 'Pakistan', 'Australia', '2005-01-23', 'Australia', False, 'VB Series', 'Unknown')
(257, 'Zimbabwe', 'India', '2005-09-04', 'India', False, 'Videocon Triangular Series', 'Unknown')
(258, 'South Africa', 'India', '2005-11-28', 'India', False, 'South Africa tour of India', 'Unknown')
(259, 'India', 'New Zealand', '2005-09-06', 'New Zealand', False, 'Videocon Triangular Series', 'Final')
(260, 'India', 'Sri Lanka', '2005-10-25', 'India', False, 'Sri Lanka tour of India', 'Unknown')
